target_mmsi,t_unix,lat_deg,lon_deg,neighbor_mmsi,neighbor_dist_km,n_neighbors
368062150,1708982145,29.380300521850582,-94.87834167480467,,,0
368062150,1708982745,29.37677574157715,-94.86119079589844,,,0
368062150,1708983345,29.3726806640625,-94.84398651123048,,,0
368062150,1708983945,29.367576599121097,-94.82704162597656,,,0
368062150,1708984545,29.361244201660156,-94.80950927734376,,,0
368062150,1708985145,29.36656188964844,-94.80119323730467,,,0
368062150,1708985745,29.379365921020508,-94.80525970458984,,,0
368062150,1708986345,29.391876220703125,-94.81269073486328,,,0
368062150,1708986945,29.405227661132812,-94.81915283203124,,,0
368062150,1708987545,29.418243408203125,-94.82557678222656,,,0
368062150,1708988145,29.431636810302734,-94.83238983154295,,,0
368062150,1708988745,29.445388793945312,-94.8393325805664,,,0
368062150,1708989345,29.5,-94.84750366210938,,,0
368062150,1708989945,29.5,-94.8499984741211,,,0
368062150,1708990545,29.5,-94.85875701904295,,,0
368062150,1708991145,29.5,-94.8625030517578,,,0
368062150,1708991745,29.5,-94.87625122070312,,,0
368062150,1708992345,29.5,-94.8874969482422,,,0
368062150,1708992945,29.5,-94.89500427246094,,,0
368062150,1708993545,29.5,-94.90750122070312,,,0
368062150,1708994145,29.5,-94.91374969482422,,,0
368062150,1708994745,29.524999618530273,-94.92874145507812,,,0
368062150,1708995345,29.5625,-94.93499755859376,,,0
368062150,1708995945,29.600000381469727,-94.94625091552734,,,0
368062150,1709156115,29.74106216430664,-95.0583038330078,367381000.0,1167.7104473359848,1
368062150,1709156715,29.754770278930664,-95.06593322753906,367381000.0,1165.3393255823528,1
368062150,1709157315,29.763164520263672,-95.07830047607422,367381000.0,1163.2663184500755,1
368062150,1709157915,29.761579513549805,-95.08963012695312,367381000.0,1160.6548014856521,1
368062150,1709158515,29.751596450805664,-95.0968780517578,367381000.0,1154.9097622704942,1
368062150,1709159115,29.750019073486328,-95.0998306274414,,,0
368062150,1709159715,29.750017166137695,-95.09981536865234,,,0
368062150,1709160315,29.74964141845703,-95.10050201416016,,,0
368062150,1709160915,29.74964904785156,-95.10050201416016,,,0
368062150,1709161515,29.749839782714844,-95.0999984741211,,,0
368062150,1709162115,29.749998092651367,-95.0998306274414,,,0
368062150,1709162715,29.749954223632812,-95.09986114501952,,,0
368062150,1709163315,29.700000762939453,-95.09124755859376,,,0
368062150,1709163915,29.700000762939453,-95.09249877929688,,,0
368062150,1709164515,29.700000762939453,-95.09249877929688,,,0
368062150,1709165115,29.700000762939453,-95.09124755859376,,,0
368062150,1709165715,29.700000762939453,-95.09124755859376,,,0
368062150,1709166315,29.700000762939453,-95.09124755859376,,,0
368062150,1709166915,29.700000762939453,-95.09249877929688,,,0
368062150,1709167515,29.700000762939453,-95.09249877929688,,,0
368062150,1709168115,29.700000762939453,-95.09249877929688,,,0
368062150,1709168715,29.700000762939453,-95.09375,,,0
368062150,1709169315,29.700000762939453,-95.09375,,,0
368062150,1709169915,29.700000762939453,-95.09624481201172,,,0
